_chat;Hi, my name is Boris. I live on your desktop.
_whisper;I think you're pretty awesome.
_snicker;I just farted...
_complain;Your screen is pretty dirty.
_thought;I wonder if I'm a real person...
_thought;Where am I when the computer is turned off?
_thought;Am I living in the Matrix?
_thought;Do I have a purpose or am I just entertainment?
_thought;I wonder if Santa is real...
_thought;Is this the North Pole?
_thought;Should I start a band?
_thought;Am I at work or is this my vacation?
_thought;Mars is the only planet populated entirely by robots.
_thought;Do I forget everything I know when the computer restarts?
